advId,owner
384a5125-6aaa-4d43-b9cb-9f69e23f789f,1nuh1IsaqAPkD1Ifqv3re6
5bfba785-5bb8-4ecb-87be-a699432c0391,LvcUVa3TL773ZCtkLtPLl
afd2feda-1ef0-4077-b15d-6a45bfec1588,Ol4iIUw3eeiBkWnkHfk842
b50fef14-7d6e-4951-a69c-0ed3ecb91867,4Rs5vZNQfuybSakXYChAK2
647acf34-5488-427c-8eec-a1a37c79b84a,UrRDs4HKndIjF7w8rTVx54
7b9bb362-b0f3-4e63-92db-abdc19c75bac,gGgtEJqVElMfg7mDK7Nyt4
5d522ab7-886a-4c17-9e0d-1e80b200aa4f,Xg3zuNGJY134RDbbvWwVk2
496b2c70-c452-4ba5-8207-9803878982c6,iB4QwhvWKbdLqpcua8UKY6
313866f8-24a4-4c61-af89-b295954f3edf,5FEzxmNH973cIYdcxGfPz3
4f01df35-1598-49f0-9d15-f218ad1662fd,bt8LqMSOr30gXa1yi56ij1
f76c5ab8-72f0-4149-ab7a-62e2c4ab682e,hvuptCongFg1T877s3tHz2
83dfaca5-af03-468a-af8f-61a3d3a7a9ee,BhDflk5KXBGrKCXJGhBUS1
eb35cf2c-9cb3-4937-af39-15e0331f741e,4u2gO7cFPcLsmACRDr7TV
098b0db3-2904-4850-8887-c49f7f00b183,lkko8rLfgm2jwLXfwvtsz
63742e83-ad93-4291-864e-10bf2fd65160,wcepQp2l4nlWn6KblEAOy3
02abded6-adfc-4cdf-8ee8-1ccd7b61d89b,1muii2us7UkrYxWfIAiYI2
5d736aca-4763-4998-b91f-50caf3860c24,zTdn9Y00cH1UJBz4DbITM3
4a056c00-26ba-4a7c-8639-53ddc1e6a2f0,X07lmQnaYDo37FNJhXxKS
a855275a-c687-4e29-9039-cc5568b87261,oVBsji5CV62nOVI7g7o1Q3
fa35d80b-5338-4aa7-af48-eb93e96a9437,325weW8wN4JbJjpvxHCHe4
98be9f8e-c049-4622-a79a-ac87163bd6f8,JZeHYLNUxN39IfrtuRuXl
29977329-1b70-4059-a146-abc59a6749f2,KwpIoO65Ct6h6lgDWCQ6S1
320675ae-d50a-4d1e-ae1f-78dc265a6683,cf5kbUJ9x0jcFvjU6ihlT5
ce631fde-7f56-45ee-b567-05c81cfe653b,UnhPA0sPW2aHHBmz0fxLt1
c27d77a8-1123-498f-9944-a22da36ab677,EElkevQilOENCdwu0aXQG4
81188974-1325-4817-93a0-4aca859ace28,0fjGHzXsNRu7f3GujSWBl3
2467394d-ba4f-449c-b895-b4695e51fce6,5SIbHnnxwU2vl5xW823W97
6b1edfbb-01f4-491a-a53a-3efedf22ba53,5SIbHnnxwU2vl5xW823W97
a6ab38f9-677c-47d1-acc7-8e3a65615590,442jt0yQkps3luk9cAOuY6
8e4c7965-325a-4c0d-b45d-0715bb7358ae,qMEbSgpIJSQ7OBJewFezC7
310e5182-32dc-4cd0-8665-c79c8418681d,N5rJeflR8B0o3FY1SdkVD1
3c0260a1-7820-44c6-97d9-6d36f2d700de,puvpXCP6zFvAil0sBfMxv
678ff8d0-6a94-48cd-a106-2911bb702cd7,7VjPLSgF8TZjGUufEPsiZ
0d8ff9d8-0c36-425d-ac4e-7c6ec1296c7e,gNetC1vjKg2yv9j6ZutcJ7
ccf6708d-ebbc-403b-9ef2-03befcfa501d,klAboPTWEPpJSND1th2Tp7
471d5686-80c8-41ff-b1e5-68bbabcd1add,aOFGGAgG5VDbnjOBSWMtq
